id,name,position,team,age,nationality
1494342,Elliot Watt,DEF,Motherwell,26,
4969690,Emmanuel Longelo,DEF,Motherwell,26,
1481494,Callum Hendry,DEF,Motherwell,29,
6234,Regan Charles-Cook,DEF,Motherwell,29,
37574652,Eythor Bjørgolfsson,DEF,Motherwell,26,
581092,Aston Oxborough,GK,Motherwell,28,
37562138,Oscar Priestman,DEF,Motherwell,23,
219932,Filip Stuparevic,DEF,Motherwell,26,
37541046,Matty Connelly,GK,Motherwell,23,
2823414,Apostolos Stamatelopoulos,DEF,Motherwell,27,
37649502,Luca Ross,DEF,Motherwell,20,
9510,Paul McGinn,DEF,Motherwell,36,
37341882,Ibrahim Said,DEF,Motherwell,24,
5640904,Elijah Just,DEF,Motherwell,26,
749643,John Koutroumbis,DEF,Motherwell,28,
12321,Stephen O'Donnell,DEF,Motherwell,34,
581047,Callum Slattery,DEF,Motherwell,27,
173046,Liam Gordon,DEF,Motherwell,30,
28912717,Tom Sparrow,DEF,Motherwell,24,
172815,Sam Nicholson,DEF,Motherwell,31,
33991811,Tawanda Maswanhise,DEF,Motherwell,24,
37356299,Zach Robinson,DEF,Motherwell,24,
2662,Andy Halliday,DEF,Motherwell,35,
37262034,Calum Ward,GK,Motherwell,26,
172695,Jordan McGhee,DEF,Motherwell,30,
2823438,Lukas Fadinger,DEF,Motherwell,26,
16496779,Dominic Thompson,DEF,Kilmarnock,26,
7346244,George Stanger,DEF,Kilmarnock,26,
174320,Scott Tiffoney,DEF,Kilmarnock,28,
7026565,Tyreece John-Jules,DEF,Kilmarnock,25,
37695603,Ethan Schilte-Brown,DEF,Kilmarnock,21,
3027,Kelle Roos,GK,Kilmarnock,34,
37649673,Ben Brannan,DEF,Kilmarnock,19,
123690,James Brown,DEF,Kilmarnock,28,
37373571,Eddie Beach,GK,Kilmarnock,23,
30851414,Marcus Dackers,DEF,Kilmarnock,23,
341500,Unknown,DEF,Kilmarnock,,
32422758,Lewis Mayo,DEF,Kilmarnock,26,
3372,Marley Watkins,DEF,Kilmarnock,36,
37590770,David Watson,DEF,Kilmarnock,21,
149461,Brad Joseph Lyons,DEF,Kilmarnock,29,
37565176,Zac Williams,DEF,Kilmarnock,22,
13063,Tom Lowery,DEF,Kilmarnock,29,
19642679,Michael Schjönning-Larsen,DEF,Kilmarnock,25,
4763,Maksymilian Stryjek,GK,Kilmarnock,30,
32777741,Djenairo Daniels,DEF,Kilmarnock,24,
172486,Rory McKenzie,DEF,Kilmarnock,33,
173948,Bruce Anderson,DEF,Kilmarnock,28,
540673,Robbie Deas,DEF,Kilmarnock,26,
174381,Kyle Magennis,DEF,Kilmarnock,28,
4285,Matty Kennedy,DEF,Kilmarnock,32,
172633,Liam Polworth,DEF,Kilmarnock,32,
172953,Greg Kiltie,DEF,Kilmarnock,29,
