sportmonks_id,name,position,position_id,team,age,nationality
1494342,Elliot Watt,DEF,26,Motherwell,26,
4969690,Emmanuel Longelo,DEF,25,Motherwell,26,
1481494,Callum Hendry,DEF,27,Motherwell,29,
6234,Regan Charles-Cook,DEF,27,Motherwell,29,
37574652,Eythor Bjørgolfsson,DEF,27,Motherwell,26,
581092,Aston Oxborough,GK,24,Motherwell,28,
37562138,Oscar Priestman,DEF,26,Motherwell,23,
219932,Filip Stuparevic,DEF,27,Motherwell,26,
37541046,Matty Connelly,GK,24,Motherwell,23,
2823414,Apostolos Stamatelopoulos,DEF,27,Motherwell,27,
37649502,Luca Ross,DEF,27,Motherwell,20,
9510,Paul McGinn,DEF,25,Motherwell,36,
896243,Unknown,DEF,27,Motherwell,,
37341882,Ibrahim Said,DEF,27,Motherwell,24,
5640904,Elijah Just,DEF,27,Motherwell,26,
749643,John Koutroumbis,DEF,25,Motherwell,28,
12321,Stephen O'Donnell,DEF,25,Motherwell,34,
581047,Callum Slattery,DEF,26,Motherwell,27,
173046,Liam Gordon,DEF,25,Motherwell,30,
28912717,Tom Sparrow,DEF,26,Motherwell,24,
172815,Sam Nicholson,DEF,26,Motherwell,31,
33991811,Tawanda Maswanhise,DEF,27,Motherwell,24,
37356299,Zach Robinson,DEF,27,Motherwell,24,
2662,Andy Halliday,DEF,26,Motherwell,35,
37262034,Calum Ward,GK,24,Motherwell,26,
172695,Jordan McGhee,DEF,25,Motherwell,30,
2823438,Lukas Fadinger,DEF,26,Motherwell,26,
16496779,Dominic Thompson,DEF,25,Kilmarnock,26,
7346244,George Stanger,DEF,25,Kilmarnock,26,
174320,Scott Tiffoney,DEF,27,Kilmarnock,28,
7026565,Tyreece John-Jules,DEF,27,Kilmarnock,25,
37695603,Ethan Schilte-Brown,DEF,25,Kilmarnock,21,
3027,Kelle Roos,GK,24,Kilmarnock,34,
37649673,Ben Brannan,DEF,26,Kilmarnock,19,
123690,James Brown,DEF,25,Kilmarnock,28,
37373571,Eddie Beach,GK,24,Kilmarnock,23,
30851414,Marcus Dackers,DEF,27,Kilmarnock,23,
32422758,Lewis Mayo,DEF,25,Kilmarnock,26,
3372,Marley Watkins,DEF,27,Kilmarnock,36,
37590770,David Watson,DEF,26,Kilmarnock,21,
149461,Brad Joseph Lyons,DEF,26,Kilmarnock,29,
37565176,Zac Williams,DEF,25,Kilmarnock,22,
13063,Tom Lowery,DEF,26,Kilmarnock,29,
19642679,Michael Schjönning-Larsen,DEF,25,Kilmarnock,25,
4763,Maksymilian Stryjek,GK,24,Kilmarnock,30,
32777741,Djenairo Daniels,DEF,27,Kilmarnock,24,
172486,Rory McKenzie,DEF,27,Kilmarnock,33,
173948,Bruce Anderson,DEF,27,Kilmarnock,28,
540673,Robbie Deas,DEF,25,Kilmarnock,26,
174381,Kyle Magennis,DEF,26,Kilmarnock,28,
4285,Matty Kennedy,DEF,27,Kilmarnock,32,
172633,Liam Polworth,DEF,26,Kilmarnock,32,
172953,Greg Kiltie,DEF,27,Kilmarnock,29,
174957,Jack Thomson,DEF,26,Kilmarnock,26,
586850,Jamie Brandon,DEF,25,Kilmarnock,28,
37667060,Mitchel Frame,DEF,25,Aberdeen,20,
35683622,Lyall Cameron,DEF,26,Aberdeen,24,
151235,Per Kristian Bråtveit,GK,24,Aberdeen,30,
14302,Toyosi Olusanya,DEF,27,Aberdeen,29,
1452334,Mats Knoester,DEF,25,Aberdeen,28,
24817483,Liam Morrison,DEF,25,Aberdeen,23,
37588649,Dylan Lobban,DEF,27,Aberdeen,21,
37505264,Alexander Jensen,DEF,25,Aberdeen,25,
172357,Stuart Armstrong,DEF,26,Aberdeen,34,
5666412,Afeez Aremu,DEF,26,Aberdeen,27,
37668873,Kenan Bilalovic,DEF,27,Aberdeen,21,
173059,Kevin Nisbet,DEF,27,Aberdeen,29,
37640415,Kjartan Már Kjartansson,DEF,26,Aberdeen,20,
23269649,Adil Aouchiche,DEF,26,Aberdeen,24,
37614138,Dante Polvara,DEF,26,Aberdeen,26,
3568421,Ante Palaversa,DEF,26,Aberdeen,26,
37317417,Marko Lazetić,DEF,27,Aberdeen,22,
37344344,Topi Keskinen,DEF,27,Aberdeen,23,
151045,Sivert Heltne Nilsen,DEF,26,Aberdeen,35,
1525373,Kristers Tobers,DEF,25,Aberdeen,26,
37563420,Peter Ambrose,DEF,27,Aberdeen,24,
6007,Dimitar Mitov,GK,24,Aberdeen,29,
37328091,Gavin Molloy,DEF,25,Aberdeen,25,
23269654,Leighton Clarkson,DEF,26,Aberdeen,25,
37576195,Jack Milne,DEF,25,Aberdeen,23,
172575,Graeme Shinnie,DEF,26,Aberdeen,35,
173891,Nicky Devlin,DEF,25,Aberdeen,33,
37364876,Nicolas Milanovic,DEF,27,Aberdeen,25,
749937,Nick Suman,GK,24,Aberdeen,26,
37588255,Emmanuel Gyamfi,DEF,25,Aberdeen,22,
28184653,Josh Campbell,DEF,26,Hibernian,26,
2483202,Jack Iredale,DEF,25,Hibernian,30,
37580321,Murray Johnson,GK,24,Hibernian,22,
37648631,Kanayo Megwa,DEF,25,Hibernian,22,
4583,Dan Barlaser,DEF,26,Hibernian,29,
14338021,Thibault Klidjé,DEF,27,Hibernian,25,
172828,Chris Cadden,DEF,25,Hibernian,30,
37691888,Owen Elding,DEF,27,Hibernian,20,
37609172,Kai Andrews,DEF,26,Hibernian,20,
37605120,Miguel Chaiwa,DEF,26,Hibernian,22,
2781,Joe Newell,DEF,26,Hibernian,33,
1452162,Rocky Bushiri,DEF,25,Hibernian,27,
123099,Warren O'Hora,DEF,25,Hibernian,27,
7742181,Dylan Levitt,DEF,26,Hibernian,26,
537593,Alasana Manneh,DEF,26,Hibernian,28,
175335,Nicky Cadden,DEF,26,Hibernian,30,
6590,Jordan Smith,GK,24,Hibernian,32,
807,Grant Hanley,DEF,25,Hibernian,35,
261,Junior Hoilett,DEF,27,Hibernian,36,
37649472,Rudi Molotnikov,DEF,26,Hibernian,20,
25954296,Kieron Bowie,DEF,27,Hibernian,24,
172795,Martin Boyle,DEF,27,Hibernian,33,
432857,Élie Youan,DEF,27,Hibernian,27,
2452,Jordan Obita,DEF,25,Hibernian,33,
121792,Jamie McGrath,DEF,26,Hibernian,30,
35708,Raphael Sallinger,GK,24,Hibernian,31,
35683623,Josh Mulligan,DEF,26,Hibernian,24,
37558562,Adam Montgomery,DEF,25,Celtic,24,
262280,Auston Trusty,DEF,25,Celtic,28,
37342595,Dane Murray,DEF,25,Celtic,23,
37732189,Colby Donovan,DEF,25,Celtic,20,
13591493,Tomas Cvancara,DEF,27,Celtic,26,
37526239,Michel-Ange Balikwisha,DEF,27,Celtic,25,
15169863,Sebastian Tounekti,DEF,27,Celtic,24,
260840,Marcelo Saracchi,DEF,25,Celtic,28,
1548366,Luke McCowan,DEF,26,Celtic,29,
378093,Ross Doohan,GK,24,Celtic,28,
37598290,Callum Osmand,DEF,27,Celtic,21,
172104,James Forrest,DEF,27,Celtic,35,
1488,Kelechi Iheanacho,DEF,27,Celtic,30,
540672,Stephen Welsh,DEF,25,Celtic,26,
169,Kasper Schmeichel,GK,24,Celtic,40,
37337212,Arne Engels,DEF,26,Celtic,23,
529045,Viljami Sinisalo,GK,24,Celtic,25,
37564402,Johnny Kenny,DEF,27,Celtic,23,
35659846,Alistair Johnston,DEF,25,Celtic,28,
24065382,Paulo Bernardo,DEF,26,Celtic,24,
163711,Jota,DEF,27,Celtic,27,
30468670,Odin Holm,DEF,26,Celtic,23,
23260605,Julián Araujo,DEF,25,Celtic,25,
8585,Callum McGregor,DEF,26,Celtic,33,
10966261,Reo Hatate,DEF,26,Celtic,29,
1712,Cameron Carter-Vickers,DEF,25,Celtic,29,
37699703,Hayato Inamura,DEF,25,Celtic,24,
123659,Liam Scales,DEF,25,Celtic,28,
37563550,Hyun-jun Yang,DEF,27,Celtic,24,
173129,Anthony Ralston,DEF,25,Celtic,28,
319282,Daizen Maeda,DEF,27,Celtic,29,
172960,Kieran Tierney,DEF,25,Celtic,29,
19979885,Benjamin Nygren,DEF,27,Celtic,25,
37547142,Aidan Denholm,DEF,26,Livingston,23,
12789495,Alex Tamm,DEF,27,Livingston,25,
360621,Mohamad Sylla,DEF,26,Livingston,33,
1442,Scott Arfield,DEF,26,Livingston,38,
37539856,Babacar Fati,DEF,25,Livingston,26,
172679,Jack Hamilton,GK,24,Livingston,32,
23697679,Jamie Smith,GK,24,Livingston,24,
174211,Scott Pittman,DEF,26,Livingston,34,
25081,Joshua Brenet,DEF,25,Livingston,32,
37581761,Mahamadou Susoho,DEF,26,Livingston,21,
37590367,Macaulay Tait,DEF,26,Livingston,21,
5974,Stevie May,DEF,27,Livingston,34,
37528090,Jannik Wanner,DEF,27,Livingston,27,
3752,Danny Wilson,DEF,25,Livingston,35,
174500,Unknown,DEF,26,Livingston,,
31238681,Emmanuel Danso,DEF,26,Livingston,26,
37391727,Brooklyn Kabongolo,DEF,25,Livingston,24,
32810192,Joshua Zimmerman,DEF,27,Livingston,25,
10602,Robbie Muirhead,DEF,27,Livingston,30,
3187720,Danny Finlayson,DEF,25,Livingston,25,
96472,Jérôme Prior,GK,24,Livingston,31,
378693,Lewis Smith,DEF,26,Livingston,26,
26256,Jeremy Bokila,DEF,27,Livingston,38,
8201,Cristian Montano,DEF,26,Livingston,35,
